position=<-42346,  10806> velocity=< 4, -1>
position=<-31708, -21106> velocity=< 3,  2>
position=<-10445, -10472> velocity=< 1,  1>
position=<-21064, -42388> velocity=< 2,  4>
position=< 53393,  32093> velocity=<-5, -3>
position=<-52992,  10809> velocity=< 5, -1>
position=<-52965,  42724> velocity=< 5, -4>
position=<-42326, -10464> velocity=< 4,  1>
position=< 10872, -31750> velocity=<-1,  3>
position=<-10433, -42381> velocity=< 1,  4>
position=< 32115, -42384> velocity=<-3,  4>
position=< 21496, -42389> velocity=<-2,  4>
position=< 53378,  21454> velocity=<-5, -2>
position=< 21460, -42387> velocity=<-2,  4>
position=<-21044, -42381> velocity=< 2,  4>
position=< 32131,  10806> velocity=<-3, -1>
position=<-10429, -10472> velocity=< 1,  1>
position=< 10874,  32091> velocity=<-1, -3>
position=< 32128,  53371> velocity=<-3, -5>
position=<-10409,  32086> velocity=< 1, -3>
position=<-52973,  53370> velocity=< 5, -5>
position=<-31678,  32093> velocity=< 3, -3>
position=<-21071, -10463> velocity=< 2,  1>
position=< 42749, -21111> velocity=<-4,  2>
position=<-52961, -21106> velocity=< 5,  2>
position=<-52981,  10809> velocity=< 5, -1>
position=<-42358, -42387> velocity=< 4,  4>
position=<-52972,  21448> velocity=< 5, -2>
position=< 21516,  10814> velocity=<-2, -1>
position=< 21503, -31746> velocity=<-2,  3>
position=< 42779,  21452> velocity=<-4, -2>
position=< 53393, -31747> velocity=<-5,  3>
position=<-21062,  21445> velocity=< 2, -2>
position=<-42318,  21446> velocity=< 4, -2>
position=< 10863, -53024> velocity=<-1,  5>
position=<-52976, -31747> velocity=< 5,  3>
position=<-31702, -31750> velocity=< 3,  3>
position=<-21047, -21102> velocity=< 2,  2>
position=< 21485,  32093> velocity=<-2, -3>
position=<-31703, -53021> velocity=< 3,  5>
position=<-21067, -53022> velocity=< 2,  5>
position=< 21517, -10463> velocity=<-2,  1>
position=< 10849, -21103> velocity=<-1,  2>
position=< 10866, -10471> velocity=<-1,  1>
position=<-21040,  53362> velocity=< 2, -5>
position=< 21479,  10810> velocity=<-2, -1>
position=<-10416, -10470> velocity=< 1,  1>
position=< 32136,  21447> velocity=<-3, -2>
position=< 53382,  42732> velocity=<-5, -4>
position=< 10821, -42381> velocity=<-1,  4>
position=<-52997, -53020> velocity=< 5,  5>
position=< 21476, -10472> velocity=<-2,  1>
position=<-10433, -21105> velocity=< 1,  2>
position=< 21516,  32085> velocity=<-2, -3>
position=< 42759,  32086> velocity=<-4, -3>
position=< 32115, -42386> velocity=<-3,  4>
position=< 53421, -10469> velocity=<-5,  1>
position=<-42330,  32090> velocity=< 4, -3>
position=<-31707, -21103> velocity=< 3,  2>
position=<-42357,  42727> velocity=< 4, -4>
position=< 42794,  10807> velocity=<-4, -1>
position=<-10457,  42729> velocity=< 1, -4>
position=<-21056,  42724> velocity=< 2, -4>
position=< 53428, -21111> velocity=<-5,  2>
position=< 42738, -21107> velocity=<-4,  2>
position=< 10882, -21102> velocity=<-1,  2>
position=<-42371,  42732> velocity=< 4, -4>
position=< 10863,  42727> velocity=<-1, -4>
position=< 32136, -42387> velocity=<-3,  4>
position=< 53412,  32088> velocity=<-5, -3>
position=<-42354, -42389> velocity=< 4,  4>
position=< 21492,  32085> velocity=<-2, -3>
position=<-52973,  10806> velocity=< 5, -1>
position=<-10428,  32092> velocity=< 1, -3>
position=<-10447,  32093> velocity=< 1, -3>
position=<-21063,  32088> velocity=< 2, -3>
position=<-10401, -42385> velocity=< 1,  4>
position=<-21069,  32093> velocity=< 2, -3>
position=<-42353, -53026> velocity=< 4,  5>
