x=466, y=1429..1435
y=360, x=485..506
x=480, y=345..358
x=270, y=972..997
x=205, y=1423..1437
x=535, y=1376..1399
x=413, y=1421..1439
y=1610, x=208..228
x=534, y=408..420
y=499, x=270..272
x=518, y=367..376
y=1316, x=521..538
x=460, y=1715..1725
x=394, y=1284..1293
x=419, y=1201..1204
y=977, x=387..389
y=1636, x=302..329
x=537, y=877..899
x=482, y=325..336
y=986, x=227..255
y=350, x=341..363
y=1494, x=542..551
y=1548, x=239..410
x=462, y=281..291
x=281, y=810..815
x=387, y=1155..1165
x=520, y=180..183
x=183, y=1573..1588
x=425, y=265..280
x=227, y=966..986
x=331, y=1306..1319
y=1062, x=443..454
x=182, y=275..283
x=447, y=487..495
x=513, y=1039..1043
x=209, y=1152..1155
y=392, x=341..350
x=418, y=1742..1745
x=306, y=1556..1564
x=508, y=1377..1399
x=307, y=1200..1205
x=440, y=1346..1348
x=160, y=274..283
y=104, x=444..462
x=279, y=466..490
x=517, y=1109..1123
x=377, y=819..833
y=1209, x=348..369
y=953, x=504..514
y=1116, x=312..335
y=929, x=328..415
x=553, y=1138..1155
x=525, y=1529..1534
x=315, y=119..129
x=349, y=713..719
y=855, x=231..242
x=326, y=1177..1190
y=1389, x=521..524
x=444, y=675..688
y=64, x=355..382
x=488, y=659..686
x=331, y=420..423
x=331, y=159..166
x=402, y=496..510
x=451, y=368..382
y=1783, x=360..363
x=292, y=1334..1336
y=683, x=431..433
x=549, y=1349..1364
x=218, y=1717..1721
x=356, y=1604..1612
y=102, x=505..507
y=1291, x=269..276
y=704, x=245..269
y=913, x=253..264
x=170, y=7..19
y=977, x=167..189
y=397, x=399..406
x=414, y=1004..1012
y=1347, x=343..367
x=396, y=80..83
x=260, y=841..867
x=176, y=1755..1765
x=321, y=385..396
y=1780, x=180..182
x=236, y=1532..1548
x=373, y=224..234
x=363, y=788..790
y=231, x=543..548
y=155, x=277..287
x=407, y=1345..1350
x=412, y=881..890
x=229, y=1194..1210
y=1205, x=305..307
x=325, y=88..91
x=432, y=1258..1264
y=1503, x=241..261
y=1609, x=159..179
x=491, y=241..254
y=325, x=296..302
y=634, x=365..367
x=440, y=1109..1116
x=520, y=1280..1284
x=267, y=55..64
x=431, y=1002..1010
y=1596, x=319..338
y=1533, x=165..169
x=502, y=238..249
y=1155, x=261..269
y=617, x=404..441
x=185, y=1327..1338
x=208, y=883..896
y=555, x=455..461
y=1754, x=223..231
x=510, y=176..186
x=502, y=552..575
y=833, x=377..394
x=551, y=1415..1440
y=87, x=391..407
x=245, y=186..188
y=473, x=175..199
y=1251, x=336..340
x=471, y=1001..1002
x=539, y=1732..1734
y=1060, x=368..390
x=383, y=1706..1722
y=725, x=290..297
x=514, y=945..953
y=1290, x=403..408
y=818, x=274..293
y=544, x=330..341
x=230, y=1359..1361
y=1116, x=438..440
y=1256, x=220..243
y=1708, x=177..198
x=296, y=315..325
x=340, y=363..376
y=152, x=163..165
x=165, y=1509..1533
y=1180, x=424..439
y=202, x=221..225
x=169, y=394..403
x=195, y=1069..1071
x=207, y=1050..1061
x=525, y=1766..1789
y=1306, x=420..432
x=436, y=1671..1696
x=377, y=1369..1396
x=264, y=902..913
x=288, y=1495..1507
y=815, x=209..213
x=537, y=575..603
x=207, y=1101..1103
x=413, y=20..22
y=867, x=245..260
x=371, y=699..708
x=490, y=1062..1071
x=353, y=985..996
y=882, x=362..380
x=197, y=1523..1533
y=1679, x=299..304
x=319, y=1585..1596
x=535, y=1174..1201
y=698, x=189..193
x=205, y=1248..1251
x=524, y=243..253
x=163, y=130..152
x=311, y=1267..1270
x=400, y=527..531
x=391, y=485..507
x=257, y=1278..1282
x=483, y=1750..1762
x=246, y=1305..1325
x=209, y=1491..1504
x=495, y=197..211
y=1704, x=188..192
x=224, y=298..323
x=162, y=613..620
x=399, y=451..465
y=1767, x=182..195
y=1302, x=305..315
x=443, y=1059..1062
y=454, x=365..382
x=277, y=146..155
y=1017, x=366..391
x=337, y=326..344
x=233, y=156..172
x=328, y=1340..1350
x=279, y=1555..1564
y=755, x=252..265
x=189, y=698..701
x=256, y=803..807
x=212, y=1090..1092
x=446, y=1508..1511
x=371, y=739..750
x=281, y=311..338
y=1236, x=320..337
x=239, y=1448..1466
x=520, y=979..981
x=339, y=250..273
x=262, y=967..975
y=1001, x=234..236
x=241, y=1145..1147
y=1419, x=424..439
y=438, x=197..202
x=371, y=1686..1691
x=284, y=1579..1582
y=1251, x=205..208
x=344, y=696..701
x=304, y=1538..1544
x=463, y=1510..1518
y=1761, x=284..304
x=312, y=716..721
x=202, y=420..438
y=973, x=180..183
x=290, y=774..782
x=404, y=900..910
x=414, y=542..555
x=511, y=1597..1613
x=407, y=203..220
x=294, y=1081..1093
x=247, y=780..786
y=1564, x=279..306
x=550, y=267..271
y=696, x=251..263
y=1137, x=359..363
x=417, y=203..220
y=1326, x=462..476
x=436, y=987..993
x=324, y=141..147
y=1591, x=467..475
x=326, y=1769..1773
x=231, y=1260..1263
y=1725, x=456..460
x=304, y=1672..1679
x=170, y=1713..1722
x=159, y=227..237
x=424, y=471..482
x=483, y=738..750
x=276, y=1286..1291
x=447, y=1646..1648
y=1449, x=173..190
y=1147, x=238..241
x=243, y=89..96
y=1765, x=236..240
y=228, x=453..471
x=521, y=528..530
x=496, y=668..671
x=228, y=403..406
x=351, y=1127..1141
y=1500, x=394..397
y=721, x=312..329
x=367, y=630..634
x=547, y=448..462
x=428, y=1258..1264
x=331, y=1174..1184
x=426, y=1341..1366
x=382, y=57..64
x=393, y=1689..1707
x=398, y=80..83
x=511, y=153..163
x=465, y=1009..1037
x=484, y=1106..1114
x=365, y=436..454
x=248, y=1059..1077
y=526, x=472..490
y=1605, x=213..217
y=499, x=413..415
y=1066, x=318..323
x=378, y=1132..1145
y=725, x=418..426
x=443, y=863..871
x=403, y=1304..1314
y=620, x=398..449
x=532, y=1224..1230
x=491, y=1372..1385
x=363, y=277..286
x=432, y=525..528
x=202, y=1205..1210
x=219, y=1117..1139
y=1722, x=168..170
x=190, y=1439..1449
x=369, y=1426..1437
y=1495, x=249..251
x=322, y=888..895
x=397, y=1688..1707
x=158, y=99..121
x=424, y=287..288
x=393, y=1092..1094
y=1103, x=205..207
y=314, x=354..358
y=1239, x=253..257
x=355, y=265..271
x=401, y=943..948
x=382, y=592..601
y=1685, x=504..532
x=189, y=861..869
x=411, y=1589..1600
y=570, x=314..338
x=553, y=1016..1022
y=186, x=241..245
y=1612, x=342..356
x=187, y=861..869
y=1544, x=304..365
x=167, y=998..1022
y=767, x=510..520
y=1707, x=393..397
x=260, y=441..447
x=468, y=880..906
x=304, y=1737..1761
x=288, y=920..935
y=1085, x=219..232
y=1285, x=194..198
x=286, y=116..132
x=382, y=817..829
y=1776, x=227..230
y=507, x=391..393
x=229, y=1018..1034
y=734, x=196..205
y=537, x=388..411
y=211, x=432..445
x=521, y=1305..1316
x=164, y=1737..1748
x=459, y=394..396
y=1800, x=252..259
y=603, x=242..246
x=217, y=1018..1034
x=344, y=713..719
x=336, y=1248..1251
x=411, y=1031..1038
y=1028, x=196..212
y=1193, x=195..201
x=273, y=1495..1507
x=283, y=1333..1336
y=106, x=499..515
x=338, y=564..570
y=1456, x=312..345
x=238, y=393..415
x=253, y=455..480
x=415, y=1283..1293
y=1359, x=230..235
y=783, x=171..181
y=1778, x=227..230
y=1753, x=446..468
x=520, y=1175..1201
y=526, x=282..289
x=176, y=1128..1145
x=387, y=975..977
y=769, x=377..380
y=1155, x=209..213
y=1377, x=310..335
x=208, y=1599..1610
y=1139, x=195..219
y=1071, x=488..490
x=224, y=1354..1364
x=432, y=1280..1306
y=1101, x=353..375
y=338, x=232..240
x=416, y=855..858
y=1667, x=325..339
x=541, y=1349..1364
x=257, y=1420..1426
x=436, y=1616..1620
x=417, y=474..486
x=325, y=1641..1667
y=1257, x=324..346
x=249, y=781..786
y=470, x=186..189
x=369, y=761..773
y=145, x=456..461
x=288, y=467..490
y=1202, x=430..438
x=489, y=1711..1727
x=274, y=770..791
x=501, y=79..81
y=64, x=473..501
y=60, x=248..250
x=521, y=1782..1784
y=1797, x=466..478
x=380, y=899..910
x=221, y=424..438
y=632, x=180..204
x=425, y=1566..1593
x=363, y=324..350
x=375, y=1088..1101
x=542, y=1050..1054
x=185, y=216..240
x=544, y=1772..1779
x=427, y=1105..1128
x=355, y=57..64
x=424, y=567..576
x=286, y=185..206
y=940, x=428..444
x=192, y=834..852
y=1475, x=402..415
x=435, y=1525..1536
y=756, x=516..528
x=243, y=1255..1256
x=549, y=876..899
x=377, y=759..769
y=1160, x=500..505
x=547, y=936..941
x=552, y=12..31
y=975, x=260..262
y=101, x=454..456
x=170, y=1758..1762
